title,main_info1,main_info2,main_info3
Зверополис,"Zootopia, 2016, 108 мин.",США • мультфильм  Режиссёр: Байрон Ховард,"В ролях: Джиннифер Гудвин, Джейсон Бейтман"
Навсикая из долины ветров,"Kaze no tani no Naushika, 1984, 117 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Суми Симамото, Махито Цудзимура"
Смех и горе у Бела моря,"1988, 59 мин.",СССР • мультфильм  Режиссёр: Леонид Носырев,"В ролях: Анатолий Баранцев, Евгений Леонов"
Звёздные войны: Эпизод 3 — Месть ситхов,"Star Wars: Episode III - Revenge of the Sith, 2005, 140 мин.",США • фантастика  Режиссёр: Джордж Лукас,"В ролях: Юэн Макгрегор, Натали Портман"
Крик тишины,"2019, 97 мин.",Россия • драма  Режиссёр: Владимир Потапов,"В ролях: Алина Саргина, Лев Гиршов"
"Знакомьтесь, Джо Блэк","Meet Joe Black, 1998, 178 мин.",США • мелодрама  Режиссёр: Мартин Брест,"В ролях: Брэд Питт, Энтони Хопкинс"
Молчание ягнят,"The Silence of the Lambs, 1990, 118 мин.",США • триллер  Режиссёр: Джонатан Демме,"В ролях: Джоди Фостер, Энтони Хопкинс"
Приключения Паддингтона 2,"Paddington 2, 2017, 103 мин.",Великобритания • фэнтези  Режиссёр: Пол Кинг,"В ролях: Бен Уишоу, Хью Бонневилль"
Сестрёнка,"2019, 94 мин.",Россия • драма  Режиссёр: Александр Галибин,"В ролях: Арслан Крымчурин, Марта Кесслер"
Любовь и голуби,"1984, 107 мин.",СССР • мелодрама  Режиссёр: Владимир Меньшов,"В ролях: Александр Михайлов, Нина Дорошина"
Мстители: Война бесконечности,"Avengers: Infinity War, 2018, 149 мин.",США • фантастика  Режиссёр: Энтони Руссо,"В ролях: Роберт Дауни мл., Крис Хемсворт"
Укрась прощальное утро цветами обещания,"Sayonara no asa ni yakusoku no hana o kazaro, 2018, 115 мин.",Япония • аниме  Режиссёр: Мари Окада,"В ролях: Манака Ивами, Мию Ирино"
Покровские ворота,"1982, 140 мин.",СССР • мюзикл  Режиссёр: Михаил Козаков,"В ролях: Олег Меньшиков, Леонид Броневой"
Холодное лето пятьдесят третьего...,"1987, 102 мин.",СССР • драма  Режиссёр: Александр Прошкин,"В ролях: Валерий Приёмыхов, Анатолий Папанов"
Война,"2002, 120 мин.",Россия • боевик  Режиссёр: Алексей Балабанов,"В ролях: Алексей Чадов, Иэн Келли"
Малышка на миллион,"Million Dollar Baby, 2004, 132 мин.",США • драма  Режиссёр: Клинт Иствуд,"В ролях: Клинт Иствуд, Хилари Суэнк"
Невероятный мир глазами Энцо,"The Art of Racing in the Rain, 2019, 109 мин.",США • драма  Режиссёр: Саймон Кёртис,"В ролях: Кевин Костнер, Майло Вентимилья"
Игры разума,"A Beautiful Mind, 2001, 135 мин.",США • драма  Режиссёр: Рон Ховард,"В ролях: Рассел Кроу, Эд Харрис"
